Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Station,Hostname,IP_Address,OS_Type,Server_Location,Admin_Name,Admin_Email,Admin_Phone,Uptime_Pct,Is_Healthy
Station1_LOG00001,SRV001,CL-8,2025-08-02 23:30:00,94.63,81.3,44.1,1.67,21.79,506.74,2.77,Station1,host-001,10.0.186.8,Windows,London,George,george@xyzcorp.com,+1-202-749-4405,99.45634040548764,False
Station1_LOG00002,SRV005,CL-3,2025-08-01 03:12:00,34.98,45.56,58.36,29.42,12.74,157.97,0.23,Station1,host-005,10.0.39.146,Windows,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,99.85461441213654,True
Station1_LOG00003,SRV001,CL-8,2025-08-01 01:33:00,37.41,73.65,74.51,2.79,18.88,606.27,5.85,Station1,host-001,10.0.186.8,Windows,London,George,george@xyzcorp.com,+1-202-749-4405,99.0443050382278,True
Station1_LOG00004,SRV091,CL-2,2025-08-02 12:56:00,86.86,60.65,23.75,22.67,21.24,893.06,3.84,Station1,host-091,10.0.22.9,Windows,London,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.57185862414984,False
Station1_LOG00005,SRV089,CL-1,2025-08-02 02:50:00,91.59,62.23,50.36,11.64,19.67,198.31,0.22,Station1,host-089,10.0.225.14,Windows,Frankfurt,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.88918551352441,False
Station1_LOG00006,SRV073,CL-3,2025-08-01 02:28:00,10.54,33.59,6.86,29.15,13.44,256.34,3.31,Station1,host-073,10.0.191.2,Linux,New York,George,george@xyzcorp.com,+1-202-749-4405,98.72520700943578,True
Station1_LOG00007,SRV094,CL-8,2025-08-01 08:01:00,20.89,55.91,60.62,1.49,5.67,526.82,6.69,Station1,host-094,10.0.160.175,Linux,Singapore,Ethan,ethan@xyzcorp.com,+1-202-853-1213,98.74604037412607,True
Station1_LOG00008,SRV050,CL-1,2025-08-01 02:40:00,84.23,89.37,36.12,19.17,14.16,974.54,9.05,Station1,host-050,10.0.187.128,Linux,Singapore,Alice,alice@xyzcorp.com,+1-202-531-6896,99.0799011783365,False
Station1_LOG00009,SRV013,CL-2,2025-08-01 23:07:00,56.07,57.99,21.22,29.09,10.51,301.21,2.17,Station1,host-013,10.0.95.98,Linux,New York,Hannah,hannah@xyzcorp.com,+1-202-151-5538,99.2847254268574,True
Station1_LOG00010,SRV097,CL-3,2025-08-02 00:58:00,12.49,58.19,62.17,24.73,20.72,165.45,9.32,Station1,host-097,10.0.44.225,Linux,New York,Diana,diana@xyzcorp.com,+1-202-789-3073,94.66727699261888,True
